state,date,population
Johor,1/1/2012,3450.4
Johor,1/1/2013,3474.4
Johor,1/1/2014,3559.8
Johor,1/1/2015,3610.3
Johor,1/1/2016,3651.8
Johor,1/1/2017,3697
Johor,1/1/2018,3749.4
Johor,1/1/2019,3761.2
Johor,1/1/2020,4009.7
Johor,1/1/2021,4020
Johor,1/1/2022,4028.3
Kedah,1/1/2012,2001.1
Kedah,1/1/2013,2039.8
Kedah,1/1/2014,2062.7
Kedah,1/1/2015,2096.5
Kedah,1/1/2016,2119.7
Kedah,1/1/2017,2143.9
Kedah,1/1/2018,2163
Kedah,1/1/2019,2173.7
Kedah,1/1/2020,2131.4
Kedah,1/1/2021,2151.7
Kedah,1/1/2022,2163.1
Kelantan,1/1/2012,1651
Kelantan,1/1/2013,1683.5
Kelantan,1/1/2014,1723.4
Kelantan,1/1/2015,1760.6
Kelantan,1/1/2016,1796.7
Kelantan,1/1/2017,1829
Kelantan,1/1/2018,1860.5
Kelantan,1/1/2019,1883.8
Kelantan,1/1/2020,1792.5
Kelantan,1/1/2021,1812.3
Kelantan,1/1/2022,1830.6
Melaka,1/1/2012,843.2
Melaka,1/1/2013,856.7
Melaka,1/1/2014,871.7
Melaka,1/1/2015,889
Melaka,1/1/2016,901.1
Melaka,1/1/2017,913.1
Melaka,1/1/2018,922.4
Melaka,1/1/2019,928.4
Melaka,1/1/2020,998.4
Melaka,1/1/2021,1004.5
Melaka,1/1/2022,1008.6
Negeri Sembilan,1/1/2012,1057.7
Negeri Sembilan,1/1/2013,1072.2
Negeri Sembilan,1/1/2014,1079.6
Negeri Sembilan,1/1/2015,1088.8
Negeri Sembilan,1/1/2016,1099.3
Negeri Sembilan,1/1/2017,1114
Negeri Sembilan,1/1/2018,1122.9
Negeri Sembilan,1/1/2019,1126.2
Negeri Sembilan,1/1/2020,1200
Negeri Sembilan,1/1/2021,1204.2
Negeri Sembilan,1/1/2022,1207.9
Pahang,1/1/2012,1547.1
Pahang,1/1/2013,1568.7
Pahang,1/1/2014,1591.7
Pahang,1/1/2015,1607.9
Pahang,1/1/2016,1626.7
Pahang,1/1/2017,1647
Pahang,1/1/2018,1664.7
Pahang,1/1/2019,1671.4
Pahang,1/1/2020,1591.3
Pahang,1/1/2021,1601.5
Pahang,1/1/2022,1614.3
Perak,1/1/2012,2427
Perak,1/1/2013,2447.2
Perak,1/1/2014,2458.8
Perak,1/1/2015,2466.9
Perak,1/1/2016,2482.1
Perak,1/1/2017,2493.2
Perak,1/1/2018,2503.5
Perak,1/1/2019,2508.8
Perak,1/1/2020,2496
Perak,1/1/2021,2515.8
Perak,1/1/2022,2514.4
Perlis,1/1/2012,239.4
Perlis,1/1/2013,242.1
Perlis,1/1/2014,245.1
Perlis,1/1/2015,248.5
Perlis,1/1/2016,251
Perlis,1/1/2017,252
Perlis,1/1/2018,253.5
Perlis,1/1/2019,254
Perlis,1/1/2020,284.9
Perlis,1/1/2021,287.6
Perlis,1/1/2022,289.8
Pulau Pinang,1/1/2012,1623.2
Pulau Pinang,1/1/2013,1662.6
Pulau Pinang,1/1/2014,1678.1
Pulau Pinang,1/1/2015,1698.1
Pulau Pinang,1/1/2016,1717.7
Pulau Pinang,1/1/2017,1744.1
Pulau Pinang,1/1/2018,1762.8
Pulau Pinang,1/1/2019,1768.8
Pulau Pinang,1/1/2020,1740.4
Pulau Pinang,1/1/2021,1740
Pulau Pinang,1/1/2022,1740.9
Sabah,1/1/2012,3432.7
Sabah,1/1/2013,3611.5
Sabah,1/1/2014,3669.9
Sabah,1/1/2015,3720.5
Sabah,1/1/2016,3802.8
Sabah,1/1/2017,3855.9
Sabah,1/1/2018,3898.4
Sabah,1/1/2019,3904.4
Sabah,1/1/2020,3418.8
Sabah,1/1/2021,3412.6
Sabah,1/1/2022,3414.9
Sarawak,1/1/2012,2569.7
Sarawak,1/1/2013,2642.5
Sarawak,1/1/2014,2664
Sarawak,1/1/2015,2701.5
Sarawak,1/1/2016,2738.7
Sarawak,1/1/2017,2766.3
Sarawak,1/1/2018,2791.7
Sarawak,1/1/2019,2806
Sarawak,1/1/2020,2453.7
Sarawak,1/1/2021,2465.6
Sarawak,1/1/2022,2473.5
Selangor,1/1/2012,5702.4
Selangor,1/1/2013,5904.7
Selangor,1/1/2014,6051.3
Selangor,1/1/2015,6178
Selangor,1/1/2016,6291.5
Selangor,1/1/2017,6380.7
Selangor,1/1/2018,6475
Selangor,1/1/2019,6506.1
Selangor,1/1/2020,6994.4
Selangor,1/1/2021,7014.7
Selangor,1/1/2022,7050.3
Terengganu,1/1/2012,1094.1
Terengganu,1/1/2013,1113.4
Terengganu,1/1/2014,1140.4
Terengganu,1/1/2015,1161
Terengganu,1/1/2016,1183.4
Terengganu,1/1/2017,1208
Terengganu,1/1/2018,1228.3
Terengganu,1/1/2019,1244.5
Terengganu,1/1/2020,1149.4
Terengganu,1/1/2021,1170.7
Terengganu,1/1/2022,1186.6
