state,strata,date,proportion
Johor,rural,1/1/2012,99.5
Johor,rural,1/1/2013,99.5
Johor,rural,1/1/2014,99.5
Johor,rural,1/1/2015,99.5
Johor,rural,1/1/2016,99.5
Johor,rural,1/1/2017,99.5
Johor,rural,1/1/2018,99.5
Johor,rural,1/1/2019,99.5
Johor,rural,1/1/2020,99.8
Johor,rural,1/1/2021,99.8
Johor,rural,1/1/2022,99.8
Johor,urban,1/1/2012,100
Johor,urban,1/1/2013,100
Johor,urban,1/1/2014,100
Johor,urban,1/1/2015,100
Johor,urban,1/1/2016,100
Johor,urban,1/1/2017,100
Johor,urban,1/1/2018,100
Johor,urban,1/1/2019,100
Johor,urban,1/1/2020,100
Johor,urban,1/1/2021,100
Johor,urban,1/1/2022,100
Kedah,rural,1/1/2012,96.3
Kedah,rural,1/1/2013,96.5
Kedah,rural,1/1/2014,96.5
Kedah,rural,1/1/2015,96.5
Kedah,rural,1/1/2016,96.5
Kedah,rural,1/1/2017,96.5
Kedah,rural,1/1/2018,96.5
Kedah,rural,1/1/2019,96.5
Kedah,rural,1/1/2020,96.5
Kedah,rural,1/1/2021,96.5
Kedah,rural,1/1/2022,96.5
Kedah,urban,1/1/2012,100
Kedah,urban,1/1/2013,100
Kedah,urban,1/1/2014,100
Kedah,urban,1/1/2015,100
Kedah,urban,1/1/2016,100
Kedah,urban,1/1/2017,100
Kedah,urban,1/1/2018,100
Kedah,urban,1/1/2019,100
Kedah,urban,1/1/2020,100
Kedah,urban,1/1/2021,100
Kedah,urban,1/1/2022,100
Kelantan,rural,1/1/2012,60.8
Kelantan,rural,1/1/2013,63.4
Kelantan,rural,1/1/2014,65.1
Kelantan,rural,1/1/2015,66.4
Kelantan,rural,1/1/2016,67.7
Kelantan,rural,1/1/2017,74.4
Kelantan,rural,1/1/2018,76.2
Kelantan,rural,1/1/2019,77.8
Kelantan,rural,1/1/2020,78.9
Kelantan,rural,1/1/2021,80.8
Kelantan,rural,1/1/2022,82
Kelantan,urban,1/1/2012,57.9
Kelantan,urban,1/1/2013,59.5
Kelantan,urban,1/1/2014,61.3
Kelantan,urban,1/1/2015,61.5
Kelantan,urban,1/1/2016,61.7
Kelantan,urban,1/1/2017,61.5
Kelantan,urban,1/1/2018,62.4
Kelantan,urban,1/1/2019,63.5
Kelantan,urban,1/1/2020,64.5
Kelantan,urban,1/1/2021,65.4
Kelantan,urban,1/1/2022,65.8
Melaka,rural,1/1/2012,100
Melaka,rural,1/1/2013,100
Melaka,rural,1/1/2014,100
Melaka,rural,1/1/2015,100
Melaka,rural,1/1/2016,100
Melaka,rural,1/1/2017,100
Melaka,rural,1/1/2018,100
Melaka,rural,1/1/2019,100
Melaka,rural,1/1/2020,100
Melaka,rural,1/1/2021,100
Melaka,rural,1/1/2022,100
Melaka,urban,1/1/2012,100
Melaka,urban,1/1/2013,100
Melaka,urban,1/1/2014,100
Melaka,urban,1/1/2015,100
Melaka,urban,1/1/2016,100
Melaka,urban,1/1/2017,100
Melaka,urban,1/1/2018,100
Melaka,urban,1/1/2019,100
Melaka,urban,1/1/2020,100
Melaka,urban,1/1/2021,100
Melaka,urban,1/1/2022,100
Negeri Sembilan,rural,1/1/2012,99.8
Negeri Sembilan,rural,1/1/2013,99.8
Negeri Sembilan,rural,1/1/2014,99.8
Negeri Sembilan,rural,1/1/2015,99.8
Negeri Sembilan,rural,1/1/2016,99.8
Negeri Sembilan,rural,1/1/2017,99.8
Negeri Sembilan,rural,1/1/2018,99.8
Negeri Sembilan,rural,1/1/2019,99.8
Negeri Sembilan,rural,1/1/2020,99.8
Negeri Sembilan,rural,1/1/2021,99.8
Negeri Sembilan,rural,1/1/2022,99.8
Negeri Sembilan,urban,1/1/2012,100
Negeri Sembilan,urban,1/1/2013,100
Negeri Sembilan,urban,1/1/2014,100
Negeri Sembilan,urban,1/1/2015,100
Negeri Sembilan,urban,1/1/2016,100
Negeri Sembilan,urban,1/1/2017,100
Negeri Sembilan,urban,1/1/2018,100
Negeri Sembilan,urban,1/1/2019,100
Negeri Sembilan,urban,1/1/2020,100
Negeri Sembilan,urban,1/1/2021,100
Negeri Sembilan,urban,1/1/2022,100
Pahang,rural,1/1/2012,96
Pahang,rural,1/1/2013,96
Pahang,rural,1/1/2014,96
Pahang,rural,1/1/2015,96
Pahang,rural,1/1/2016,96
Pahang,rural,1/1/2017,96
Pahang,rural,1/1/2018,96
Pahang,rural,1/1/2019,96
Pahang,rural,1/1/2020,96
Pahang,rural,1/1/2021,96
Pahang,rural,1/1/2022,96
Pahang,urban,1/1/2012,100
Pahang,urban,1/1/2013,100
Pahang,urban,1/1/2014,100
Pahang,urban,1/1/2015,100
Pahang,urban,1/1/2016,100
Pahang,urban,1/1/2017,100
Pahang,urban,1/1/2018,100
Pahang,urban,1/1/2019,100
Pahang,urban,1/1/2020,100
Pahang,urban,1/1/2021,100
Pahang,urban,1/1/2022,100
Perak,rural,1/1/2012,99.2
Perak,rural,1/1/2013,99.2
Perak,rural,1/1/2014,99.2
Perak,rural,1/1/2015,99.2
Perak,rural,1/1/2016,99.2
Perak,rural,1/1/2017,99.2
Perak,rural,1/1/2018,99.2
Perak,rural,1/1/2019,99.2
Perak,rural,1/1/2020,99.2
Perak,rural,1/1/2021,99.2
Perak,rural,1/1/2022,99.2
Perak,urban,1/1/2012,100
Perak,urban,1/1/2013,100
Perak,urban,1/1/2014,100
Perak,urban,1/1/2015,100
