state,sector,date,value
Johor,domestic,1/1/2022,867
Johor,nondomestic,1/1/2022,536
Kedah,domestic,1/1/2022,560
Kedah,nondomestic,1/1/2022,217
Kelantan,domestic,1/1/2022,162
Kelantan,nondomestic,1/1/2022,77
Melaka,domestic,1/1/2022,228
Melaka,nondomestic,1/1/2022,190
Negeri Sembilan,domestic,1/1/2022,307
Negeri Sembilan,nondomestic,1/1/2022,231
Pahang,domestic,1/1/2022,385
Pahang,nondomestic,1/1/2022,283
Perak,domestic,1/1/2022,699
Perak,nondomestic,1/1/2022,289
Perlis,domestic,1/1/2022,80
Perlis,nondomestic,1/1/2022,18
Pulau Pinang,domestic,1/1/2022,534
Pulau Pinang,nondomestic,1/1/2022,334
Sabah,domestic,1/1/2022,394
Sabah,nondomestic,1/1/2022,238
Sarawak,domestic,1/1/2022,602
Sarawak,nondomestic,1/1/2022,463
Selangor,domestic,1/1/2022,2230
Selangor,nondomestic,1/1/2022,1350
Terengganu,domestic,1/1/2022,286
Terengganu,nondomestic,1/1/2022,173
W.P. Labuan,domestic,1/1/2022,19
W.P. Labuan,nondomestic,1/1/2022,33


