state,date,value
Selangor,1/1/2022,5116
Selangor,1/1/2021,4985
Selangor,1/1/2020,4967
Selangor,1/1/2019,4932
Selangor,1/1/2018,4856
Selangor,1/1/2017,4842
Selangor,1/1/2016,4807
Selangor,1/1/2015,4675
Selangor,1/1/2014,4594
Selangor,1/1/2013,4563
Selangor,1/1/2012,4323
Johor,1/1/2019,1888
Sarawak,1/1/2022,1881
Johor,1/1/2021,1848
Johor,1/1/2022,1837
Johor,1/1/2020,1831
Sarawak,1/1/2021,1767
Johor,1/1/2018,1757
Johor,1/1/2016,1737
Sarawak,1/1/2020,1693
Johor,1/1/2017,1680
Sarawak,1/1/2019,1646
Sarawak,1/1/2018,1625
Johor,1/1/2015,1619
Kedah,1/1/2022,1597
Johor,1/1/2014,1568
Kedah,1/1/2021,1538
Johor,1/1/2012,1512
Johor,1/1/2013,1508
Sarawak,1/1/2017,1494
Kedah,1/1/2020,1487
Kedah,1/1/2019,1474
Sarawak,1/1/2016,1447
Kedah,1/1/2018,1446
Perak,1/1/2022,1418
Sabah,1/1/2022,1404
Perak,1/1/2020,1392
Perak,1/1/2021,1386
Sabah,1/1/2019,1374
Kedah,1/1/2017,1370
Sabah,1/1/2021,1365
Kedah,1/1/2016,1361
Perak,1/1/2019,1357
Pahang,1/1/2022,1337
Perak,1/1/2018,1333
Kedah,1/1/2013,1322
Sabah,1/1/2020,1319
Perak,1/1/2016,1317
Kedah,1/1/2015,1315
Perak,1/1/2017,1314
Sabah,1/1/2018,1304
Kedah,1/1/2014,1299
Kedah,1/1/2012,1292
Perak,1/1/2015,1289
Pahang,1/1/2021,1281
Pahang,1/1/2020,1269
Sarawak,1/1/2015,1268
Sabah,1/1/2017,1261
Sabah,1/1/2015,1229
Perak,1/1/2014,1224
Sabah,1/1/2016,1223
Perak,1/1/2013,1215
Sabah,1/1/2014,1196
Pahang,1/1/2019,1194
Sarawak,1/1/2014,1188
Pulau Pinang,1/1/2022,1178
Sarawak,1/1/2013,1165
Pahang,1/1/2018,1158
Perak,1/1/2012,1155
Sabah,1/1/2013,1132
Pahang,1/1/2015,1129
Pulau Pinang,1/1/2021,1126
Pahang,1/1/2016,1111
Pahang,1/1/2017,1109
Pahang,1/1/2014,1108
Pulau Pinang,1/1/2020,1108
Sarawak,1/1/2012,1107
Pulau Pinang,1/1/2019,1093
Pahang,1/1/2012,1089
Pulau Pinang,1/1/2018,1073
Pahang,1/1/2013,1065
Pulau Pinang,1/1/2017,1058
Sabah,1/1/2012,1057
Pulau Pinang,1/1/2016,1054
Pulau Pinang,1/1/2015,1014
Pulau Pinang,1/1/2014,995
Pulau Pinang,1/1/2013,988
Pulau Pinang,1/1/2012,964
Negeri Sembilan,1/1/2022,848
Negeri Sembilan,1/1/2021,811
Negeri Sembilan,1/1/2020,795
Negeri Sembilan,1/1/2019,784
Negeri Sembilan,1/1/2018,780
Negeri Sembilan,1/1/2016,779
Negeri Sembilan,1/1/2017,771
Negeri Sembilan,1/1/2015,752
Negeri Sembilan,1/1/2014,744
Negeri Sembilan,1/1/2013,736
Negeri Sembilan,1/1/2012,735
Terengganu,1/1/2022,720
Terengganu,1/1/2020,657
Terengganu,1/1/2021,656
Melaka,1/1/2022,649
Terengganu,1/1/2017,641
Terengganu,1/1/2016,640
Terengganu,1/1/2019,632
Terengganu,1/1/2018,627
Terengganu,1/1/2012,623
Terengganu,1/1/2013,617
Melaka,1/1/2021,603
Terengganu,1/1/2015,603
Terengganu,1/1/2014,598
Melaka,1/1/2020,578
Melaka,1/1/2019,538
Melaka,1/1/2014,532
Melaka,1/1/2018,528
Melaka,1/1/2015,519
Kelantan,1/1/2022,517
Melaka,1/1/2017,513
Melaka,1/1/2016,510
Kelantan,1/1/2020,507
Kelantan,1/1/2021,504
Kelantan,1/1/2019,503
Kelantan,1/1/2018,491
Melaka,1/1/2013,487
Melaka,1/1/2012,478
Kelantan,1/1/2017,475
Kelantan,1/1/2016,471
Kelantan,1/1/2015,454
Kelantan,1/1/2014,445
Kelantan,1/1/2013,430
Kelantan,1/1/2012,406
Perlis,1/1/2019,252
Perlis,1/1/2016,243
Perlis,1/1/2020,243
Perlis,1/1/2022,243
Perlis,1/1/2021,236
Perlis,1/1/2018,234
Perlis,1/1/2017,228
Perlis,1/1/2015,220
Perlis,1/1/2012,211
Perlis,1/1/2014,208
Perlis,1/1/2013,206
W.P. Labuan,1/1/2021,84
W.P. Labuan,1/1/2022,83
W.P. Labuan,1/1/2020,82
W.P. Labuan,1/1/2019,76
W.P. Labuan,1/1/2018,74
W.P. Labuan,1/1/2015,73
W.P. Labuan,1/1/2016,72
W.P. Labuan,1/1/2017,71
W.P. Labuan,1/1/2014,69
W.P. Labuan,1/1/2013,64
W.P. Labuan,1/1/2012,59
